date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:51	74/74	---M-Z	200	added ('OK')	text/plain	date:Thu,%2018%20Nov%202021%2018:14:51%20GMT	https://openai.com/robots.txt		(from )
14:24:52	37558/37558	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2006:24:59%20GMT	https://openai.com/blog/musenet/	C:/My%20Websites/Musenet/openai.com/blog/musenet/index.html	(from )
14:24:53	301318/301318	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Nov%202021%2018:14:53%20GMT	https://openai.com/assets/styles/all.css?v=e11caac7c6	C:/My%20Websites/Musenet/openai.com/assets/styles/all15fb.css	(from https://openai.com/blog/musenet/)
14:24:53	7038/7038	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Nov%202021%2006:25:00%20GMT	https://openai.com/favicon.png	C:/My%20Websites/Musenet/openai.com/favicon.png	(from https://openai.com/blog/musenet/)
14:24:54	64/64	---MCZ	302	error ('Found')	text/plain	date:Sun,%2021%20Nov%202021%2006:25:01%20GMT	https://unpkg.com/@tryghost/portal@~1.12.0/umd/portal.min.js	C:/My%20Websites/Musenet/unpkg.com/@tryghost/portal@_1.12.0/umd/portal.min.2.delayed	(from https://openai.com/blog/musenet/)
14:24:54	483795/483795	---MCZ	200	added ('OK')	application/javascript	etag:%22761d3-XBLGH9f5ETIM3IIerwTlyGG+PAg%22	https://unpkg.com/@tryghost/portal@1.12.7/umd/portal.min.js	C:/My%20Websites/Musenet/unpkg.com/@tryghost/portal@1.12.7/umd/portal.min.js	(from https://openai.com/blog/musenet/)
14:24:55	63926/63926	---M--	200	added ('OK')	image/jpeg	etag:0x8D861A81BAA4839	https://cdn.openai.com/research-covers/musenet/gradient.jpg	C:/My%20Websites/Musenet/cdn.openai.com/research-covers/musenet/gradient.jpg	(from https://openai.com/blog/musenet/)
14:24:57	335409/335409	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Nov%202021%2018:14:53%20GMT	https://openai.com/assets/scripts/main.js?v=e11caac7c6	C:/My%20Websites/Musenet/openai.com/assets/scripts/main15fb.js	(from https://openai.com/blog/musenet/)
14:24:57	383021/383021	---MCZ	200	added ('OK')	application/javascript	etag:0x8D861A6A79EC43C	https://cdn.openai.com/musenet/demo/bundle.v7.js	C:/My%20Websites/Musenet/cdn.openai.com/musenet/demo/bundle.v7.js	(from https://openai.com/blog/musenet/)
14:24:59	248293/248293	---M--	200	added ('OK')	image/jpeg	etag:0x8D861A81A90B52C	https://cdn.openai.com/research-covers/musenet/2x-no-mark.jpg	C:/My%20Websites/Musenet/cdn.openai.com/research-covers/musenet/2x-no-mark.jpg	(from https://openai.com/blog/musenet/)
